"금동",2855,998,916,453,341,120,21,6,2820,1181,886,382,260,91,20
"왕정동",1775,531,646,331,190,58,12,7,2402,774,896,426,222,68,16
"향교동",3155,1174,1076,482,301,86,29,7,3168,1370,1068,427,228,51,24
"도통동",6547,1636,1906,1410,1147,350,76,22,6806,2138,2128,1364,890,232,54
"만경읍",1231,475,469,180,69,27,9,X,1240,518,486,161,49,22,X
"죽산면",1114,432,455,140,56,20,8,X,1105,456,451,135,47,12,X
"백산면",1087,395,452,145,62,20,9,X,1469,613,553,199,65,28,11
"용지면",1463,478,610,228,89,42,10,6,1464,564,573,203,81,24,19
"백구면",1663,563,660,243,122,54,15,6,1667,637,658,226,99,29,18
"부량면",614,233,246,73,38,12,7,5,597,234,240,80,29,7,7
"공덕면",1090,375,434,159,68,28,23,X,1108,430,416,158,59,26,19
"청하면",772,250,333,112,51,19,X,X,770,296,309,106,35,12,12
"성덕면",782,277,306,117,56,16,9,X,778,316,302,98,46,12,X
"진봉면",1186,442,503,158,60,15,7,X,1172,495,496,129,39,12,X
"금구면",2006,599,809,332,157,71,30,8,2076,718,798,305,159,69,27
"봉남면",1011,361,438,138,51,15,X,X,1029,435,403,135,32,14,10
"황산면",838,309,349,101,51,15,8,5,868,371,334,104,40,9,10
"금산면",2074,741,846,292,132,45,14,X,2115,900,795,271,105,32,12
"광활면",589,196,241,98,37,8,X,5,590,223,243,75,31,12,6
"요촌동",4681,1649,1547,740,507,180,48,10,4899,1946,1590,731,434,159,39
"신풍동",5222,1586,1762,929,704,192,36,13,5539,1997,1782,927,600,187,46
"검산동",4642,1506,1349,833,700,202,40,12,5500,2208,1605,808,655,185,39
"교월동",2632,812,1001,433,268,86,27,5,2681,957,995,404,218,77,30
"삼례읍",6895,3055,1927,992,621,207,70,23,10373,4422,2869,1679,1070,270,63
"봉동읍",10582,3575,2689,1855,1716,604,113,30,10581,3853,3053,1798,1360,414,103
"용진읍",2773,802,1023,481,299,117,31,20,4624,1500,1754,821,386,123,40
"상관면",1833,537,669,331,226,58,10,X,1894,752,652,271,161,47,11
"이서면",6347,2497,1646,1047,869,237,39,12,7225,3130,1984,1113,772,188,38
"소양면",2173,519,920,398,201,84,31,20,2256,716,913,366,181,44,36
"구이면",2291,629,938,391,190,89,40,14,2379,843,903,372,168,62,31
"고산면",1842,493,737,332,171,80,18,11,1843,603,732,302,130,54,22
"비봉면",780,213,332,143,52,24,10,6,770,265,323,115,39,20,8
"운주면",962,401,376,126,35,17,7,X,995,472,373,111,23,11,5
"화산면",1130,374,430,194,88,38,X,X,1130,404,439,174,83,24,6
"동상면",494,164,216,76,22,13,X,X,512,211,208,62,22,6,X
"경천면",449,139,205,75,22,8,X,X,469,189,196,59,18,7,X
"진안읍",3946,1239,1421,673,394,160,38,21,4082,1450,1433,666,352,139,42
"용담면",430,193,179,45,7,X,X,X,461,214,201,38,5,X,X
"안천면",483,182,176,72,30,13,7,X,496,194,203,62,22,10,5
"동향면",683,287,262,77,36,14,X,X,682,309,257,65,31,15,5
"상전면",392,147,165,50,23,X,X,X,383,158,159,44,14,5,X
"백운면",822,264,354,111,54,23,12,X,881,342,358,125,37,17,X
"성수면",792,304,310,98,45,22,8,5,814,338,314,99,38,18,7
"마령면",794,291,300,122,47,19,9,6,790,312,307,110,40,15,6
"부귀면",1179,435,443,162,81,42,9,7,1222,477,486,155,63,34,7
