"나운3동","9세",422,264,287
"나운3동","10세",398,335,262
"나운3동","11세",404,341,321
"나운3동","12세",396,384,327
"함열읍","합계",7264,6531,6471
"함열읍","7세",48,35,25
"함열읍","8세",55,34,33
"함열읍","9세",50,23,33
"함열읍","10세",49,44,23
"함열읍","11세",42,51,41
"함열읍","12세",53,41,49
"오산면","합계",7419,6826,6611
"오산면","7세",64,44,42
"오산면","8세",78,59,41
"오산면","9세",67,57,50
"오산면","10세",66,61,54
"오산면","11세",59,69,55
"오산면","12세",46,66,64
"황등면","합계",6770,6385,6422
"황등면","7세",37,36,13
"황등면","8세",36,24,31
"황등면","9세",36,34,24
"황등면","10세",42,40,33
"황등면","11세",36,33,40
"황등면","12세",29,35,27
"함라면","합계",2127,1997,1920
"함라면","7세",6,6,X
"함라면","8세",X,8,X
"함라면","9세",10,7,8
"함라면","10세",6,7,5
"함라면","11세",13,X,7
"함라면","12세",10,7,X
"웅포면","합계",1420,1335,1327
"웅포면","7세",X,5,X
"웅포면","8세",X,X,6
"웅포면","9세",8,X,X
"웅포면","10세",5,X,X
"웅포면","11세",X,5,5
"웅포면","12세",9,5,5
"성당면","합계",1815,1672,1619
"성당면","7세",X,X,X
"성당면","8세",X,X,X
"성당면","9세",6,X,X
"성당면","10세",9,X,X
"성당면","11세",9,X,X
"성당면","12세",7,X,X
"용안면","합계",2526,2478,2387
"용안면","7세",12,X,X
"용안면","8세",11,11,X
"용안면","9세",14,8,10
"용안면","10세",6,10,6
"용안면","11세",13,11,8
"용안면","12세",9,16,10
"낭산면","합계",2933,2762,2670
"낭산면","7세",12,9,11
"낭산면","8세",12,6,9
"낭산면","9세",8,12,7
"낭산면","10세",7,13,10
"낭산면","11세",5,15,11
"낭산면","12세",9,6,13
"망성면","합계",3015,2973,2941
"망성면","7세",12,6,6
"망성면","8세",12,10,7
"망성면","9세",17,8,9
"망성면","10세",X,11,9
"망성면","11세",11,12,10
"망성면","12세",7,17,9
"여산면","합계",3254,3057,2984
"여산면","7세",14,17,13
"여산면","8세",25,20,15
"여산면","9세",15,8,16
"여산면","10세",16,13,8
"여산면","11세",15,19,12
"여산면","12세",14,11,16
"금마면","합계",5453,5209,5064
"금마면","7세",26,37,22
"금마면","8세",42,31,35
"금마면","9세",35,45,25
"금마면","10세",30,21,44
"금마면","11세",34,34,18
"금마면","12세",38,34,33
"왕궁면","합계",4148,4362,5116
"왕궁면","7세",15,9,19
"왕궁면","8세",10,14,20
"왕궁면","9세",14,11,25
"왕궁면","10세",13,17,23
"왕궁면","11세",16,17,22
"왕궁면","12세",9,11,26
"춘포면","합계",4422,4225,4345
"춘포면","7세",17,14,8
"춘포면","8세",21,15,17
"춘포면","9세",26,20,14
"춘포면","10세",22,16,20
"춘포면","11세",26,19,13
"춘포면","12세",27,18,15
"삼기면","합계",2608,2551,2531
"삼기면","7세",8,6,X
"삼기면","8세",8,8,X
"삼기면","9세",9,8,7
"삼기면","10세",9,8,6
"삼기면","11세",9,8,9
"삼기면","12세",12,8,8
"용동면","합계",1538,1502,1441
"용동면","7세",X,X,X
"용동면","8세",X,X,X
"용동면","9세",X,5,X
"용동면","10세",5,X,5
"용동면","11세",7,X,X
"용동면","12세",11,X,5
"중앙동","합계",3337,2864,2849
"중앙동","7세",9,8,10
"중앙동","8세",14,6,10
"중앙동","9세",15,9,5
"중앙동","10세",9,6,10
"중앙동","11세",7,15,9
"중앙동","12세",9,11,16
"평화동","합계",4842,4327,4184
"평화동","7세",24,32,17
"평화동","8세",44,21,33
"평화동","9세",35,34,20
"평화동","10세",33,22,33
"평화동","11세",31,45,23
"평화동","12세",25,39,42
"인화동","합계",6985,6149,5852
"인화동","7세",41,22,22
"인화동","8세",30,26,21
"인화동","9세",31,27,20
"인화동","10세",34,38,29
"인화동","11세",31,26,39
"인화동","12세",21,32,25
"동산동","합계",22154,21064,20252
"동산동","7세",212,171,128
"동산동","8세",241,169,158
"동산동","9세",229,165,166
"동산동","10세",195,207,145
"동산동","11세",214,230,196
"동산동","12세",205,231,217
"마동","합계",9854,9654,13613
"마동","7세",56,45,107
"마동","8세",54,43,100
"마동","9세",58,51,95
"마동","10세",46,66,93
"마동","11세",57,68,113
"마동","12세",58,62,128
"남중동","합계",11876,10519,9934
"남중동","7세",45,35,23
"남중동","8세",62,43,32
"남중동","9세",69,42,44
"남중동","10세",57,44,38
"남중동","11세",52,60,41
"남중동","12세",73,60,64
"모현동","합계",37443,37087,36156
"모현동","7세",394,410,360
"모현동","8세",468,450,393
"모현동","9세",483,414,439
"모현동","10세",436,403,407
"모현동","11세",408,472,402
"모현동","12세",419,491,460
