"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","도서관수","도서관(실)총좌석수","사서자격증보유","사서자격증미보유","자료구입비예산액","운영비예산액"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000717","벽량초등학교","02","공립","N","","1","15","0","0","4480000","500000"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000719","봉남초등학교","02","공립","N","","1","18","0","0","5400000","600000"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000720","부용초등학교","02","공립","N","","1","20","0","1","4490000","700000"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000721","비룡초등학교","02","공립","N","","1","11","0","0","5800000","2250000"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000722","성덕초등학교","02","공립","N","","1","11","0","0","5100000","1000000"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000726","심창초등학교","02","공립","N","","1","14","0","0","4700000","700000"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000727","용동초등학교","02","공립","N","","1","16","0","0","5010000","2200000"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000729","용지초등학교","02","공립","N","","1","24","0","0","5430000","1510000"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000730","원평초등학교","02","공립","N","","1","50","0","0","7125000","1200000"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000732","월성초등학교","02","공립","N","","1","15","0","0","5137000","200000"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000733","월촌초등학교","02","공립","N","","1","12","0","0","4974000","2132000"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000734","종정초등학교","02","공립","N","","1","28","0","1","4990000","1200000"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000736","죽산초등학교","02","공립","N","","1","13","0","0","5000000","200000"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000737","진봉초등학교","02","공립","N","","1","22","0","0","4590000","2000000"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000738","청운초등학교","02","공립","N","","1","25","0","0","5661000","2000000"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000740","청하초등학교","02","공립","N","","1","30","0","0","4800000","500000"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000741","초처초등학교","02","공립","N","","1","60","0","0","4730000","2520000"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000742","치문초등학교","02","공립","N","","1","15","0","0","4700000","2015000"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000743","황강초등학교","02","공립","N","","1","11","0","0","4070000","800000"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000744","황산초등학교","02","공립","N","","1","40","0","0","7444000","2653000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000805","남원교룡초등학교","02","공립","N","","1","50","0","1","8000000","2200000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000806","금지동초등학교","02","공립","N","","1","16","0","0","4300000","1856000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000807","금지초등학교","02","공립","N","","1","6","0","0","4926000","240000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000809","남원노암초등학교","02","공립","N","","1","30","0","1","7616000","3263000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000810","남원도통초등학교","02","공립","N","","1","60","0","0","17693000","2547000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000813","산내초등학교","02","공립","N","","1","35","0","0","6780000","700000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000814","남원서원초등학교","02","공립","N","","1","24","0","0","4600000","200000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000817","남원왕치초등학교","02","공립","N","","1","11","0","0","5080000","1955000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000818","남원월락초등학교","02","공립","N","","1","74","0","0","11460000","4800000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000819","남원중앙초등학교","02","공립","N","","1","42","0","0","6976000","3620000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000820","남원초등학교","02","공립","N","","1","40","0","0","9907000","7700000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000822","대강초등학교","02","공립","N","","1","25","0","0","4730000","2700000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000823","남원대산초등학교","02","공립","N","","1","25","0","1","4800000","3300000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000824","덕과초등학교","02","공립","N","","1","25","0","0","4772000","1200000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000827","보절초등학교","02","공립","N","","1","39","0","0","5000000","2100000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000829","사매초등학교","02","공립","N","","1","0","0","0","4800000","200000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000830","산동초등학교","02","공립","N","","1","32","0","0","5688000","590000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000831","송동초등학교","02","공립","N","","1","12","0","0","7542000","538000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000832","수지초등학교","02","공립","N","","1","30","0","0","4784000","300000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000833","아영초등학교","02","공립","N","","1","40","0","0","5310000","2280000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000834","오동초등학교","02","공립","N","","1","16","0","0","4900000","800000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000835","남원용성초등학교","02","공립","N","","1","40","0","0","6800000","3408000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000837","운봉초등학교","02","공립","N","","1","12","0","0","2400000","500000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000840","원천초등학교","02","공립","N","","1","18","0","0","5714000","920000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000841","이백초등학교","02","공립","N","","1","25","0","0","5438000","2150000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000842","인월초등학교","02","공립","N","","1","50","0","0","4740000","806000"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000845","주생초등학교","02","공립","N","","1","29","0","1","4662000","700000"
"전북특별자치도교육청","전북특별자치도무주교육지원청","전북특별자치도 무주군","S130000893","괴목초등학교","02","공립","N","","1","35","0","1","5070000","1900000"
"전북특별자치도교육청","전북특별자치도무주교육지원청","전북특별자치도 무주군","S130000894","구천초등학교","02","공립","N","","1","30","0","0","5832000","3100000"
"전북특별자치도교육청","전북특별자치도무주교육지원청","전북특별자치도 무주군","S130000897","무주중앙초등학교","02","공립","N","","1","28","0","0","8950000","3100000"
"전북특별자치도교육청","전북특별자치도무주교육지원청","전북특별자치도 무주군","S130000898","무주초등학교","02","공립","N","","1","50","0","0","9650000","3300000"
