"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","연간학생대출자료수","전년도전체학생수","연간학생대출자수","1인당대출자료수"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000498","선동초등학교","02","공립","N","","212","11","144","19.3"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000500","성내초등학교","02","공립","N","","581","20","215","29.1"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000501","성송초등학교","02","공립","N","","115","23","34","5"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000502","신림초등학교","02","공립","N","","94","25","80","3.8"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000504","심원초등학교","02","공립","N","","175","52","123","3.4"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000505","아산초등학교","02","공립","N","","1569","26","716","60.3"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000510","해리초등학교","02","공립","N","","0","26","0","0"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000512","흥덕초등학교","02","공립","N","","5236","59","1791","88.7"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000570","개야도초등학교","02","공립","N","","15","2","11","7.5"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000571","개정초등학교","02","공립","N","","4771","86","2458","55.5"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000574","군산경포초등학교","02","공립","N","","2363","424","1759","5.6"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000575","군산구암초등학교","02","공립","N","","4250","333","2997","12.8"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000576","군산금광초등학교","02","공립","N","","169","93","128","1.8"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000577","군산나운초등학교","02","공립","N","","1717","257","1588","6.7"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000578","군산남초등학교","02","공립","N","","200","104","30","1.9"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000579","군산내흥초등학교","02","공립","N","","0","51","0","0"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000580","군산동초등학교","02","공립","N","","5729","559","5351","10.2"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000581","군산문화초등학교","02","공립","N","","563","190","146","3"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000582","군산산북초등학교","02","공립","N","","1816","426","1177","4.3"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000583","군산서초등학교","02","공립","N","","283","110","195","2.6"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000584","군산서해초등학교","02","공립","N","","13775","753","9710","18.3"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000585","소룡초등학교","02","공립","N","","1763","511","721","3.5"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000586","군산수송초등학교","02","공립","N","","2650","393","1497","6.7"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000587","군산신흥초등학교","02","공립","N","","5221","450","4081","11.6"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000588","군산용문초등학교","02","공립","N","","2134","668","1650","3.2"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000589","군산월명초등학교","02","공립","N","","6734","705","4528","9.6"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000590","군산중앙초등학교","02","공립","N","","1253","227","508","5.5"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000591","군산지곡초등학교","02","공립","N","","3153","282","2012","11.2"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000592","군산초등학교","02","공립","N","","5009","837","3650","6"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000593","군산풍문초등학교","02","공립","N","","2699","280","2030","9.6"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000594","해성초등학교","02","공립","N","","374","34","366","11"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000595","군산흥남초등학교","02","공립","N","","1240","203","889","6.1"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000596","금암초등학교","02","공립","N","","553","14","275","39.5"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000598","나포초등학교","02","공립","N","","678","30","590","22.6"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000599","당북초등학교","02","공립","N","","6592","379","3520","17.4"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000600","대야남초등학교","02","공립","N","","0","35","0","0"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000601","대야초등학교","02","공립","N","","2800","115","930","24.3"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000603","마룡초등학교","02","공립","N","","80","13","50","6.2"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000604","무녀도초등학교","02","공립","N","","88","10","42","8.8"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000605","문창초등학교","02","공립","N","","716","56","485","12.8"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000606","미룡초등학교","02","공립","N","","3791","86","2255","44.1"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000607","발산초등학교","02","공립","N","","2212","25","622","88.5"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000610","서수초등학교","02","공립","N","","210","18","120","11.7"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000613","성산초등학교","02","공립","N","","1035","60","207","17.3"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000615","술산초등학교","02","공립","N","","107","15","16","7.1"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000616","신시도초등학교","02","공립","N","","326","4","225","81.5"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000618","군산신풍초등학교","02","공립","N","","1214","233","906","5.2"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000621","오봉초등학교","02","공립","N","","0","40","0","0"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000622","옥구초등학교","02","공립","N","","659","103","485","6.4"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000623","옥봉초등학교","02","공립","N","","2012","59","1488","34.1"
